Dataflow,GCCSTAT.PSS:DF_Common_Market_Tables(1.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataflow Name,Common Market Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataStructure,GCCSTAT.PSS:DSD_Common_Market_Tables(1.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataStructure Name,Common Market Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency Name,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Country Name,Track,Track Name,Indicator,Indicator Name,Citizen,Citizen Name,Sex,Sex Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A15,No. of GCC Banks in other Member States,KN_N5,Qatari,KN_T,Total,,,,,,,,,,,,,,,,,,1,1,1,1,1,,
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N1,Emirati,KN_T,Total,,,,,,,,,,,,,,,,,,606,606,606,606,606,,
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N2,Bahraini,KN_T,Total,,,,,,,,,,,,,,,,,,717,717,717,717,717,,
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N4,Omani,KN_T,Total,,,,,,,,,,,,,,,,,,70,70,70,70,70,,
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N5,Qatari,KN_T,Total,,,,,,,,,,,,,,,,,,175,175,175,175,175,,
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N6,Kuwaiti,KN_T,Total,,,,,,,,,,,,,,,,,,332,332,332,332,332,,
KN_TTL,GCC,T1,Movement & Residence,KN_A1,Intra- GCC Movement of  Citizens,KN_N1,Emirati,KN_T,Total,,,,,,,,,,,,,,,,3488792,1241309,1229368,1544764.5,1673259,380901,362928,,
KN_TTL,GCC,T1,Movement & Residence,KN_A1,Intra- GCC Movement of  Citizens,KN_N2,Bahraini,KN_T,Total,,,,,,,,,,,,,,,,2977131,2984157,2787950.5,2565031.308,2705626.116,602405.572,581082.572,,
KN_TTL,GCC,T1,Movement & Residence,KN_A1,Intra- GCC Movement of  Citizens,KN_N3,Saudi,KN_T,Total,,,,,,,,,,,,,,,,12213411,12941217,13226436,15253418.34,14219213.69,2612194.331,4002802.331,,
KN_TTL,GCC,T1,Movement & Residence,KN_A1,Intra- GCC Movement of  Citizens,KN_N4,Omani,KN_T,Total,,,,,,,,,,,,,,,,5205911,5215850,4930162,5455746.355,6047884.71,1381006.16,1385762.16,,
KN_TTL,GCC,T1,Movement & Residence,KN_A1,Intra- GCC Movement of  Citizens,KN_N5,Qatari,KN_T,Total,,,,,,,,,,,,,,,,896764,1507626,863624,346040.7723,379370.5447,83793.59608,68625.59608,,
KN_TTL,GCC,T1,Movement & Residence,KN_A1,Intra- GCC Movement of  Citizens,KN_N6,Kuwaiti,KN_T,Total,,,,,,,,,,,,,,,,1240130,3728032,3451874,3458353.971,3689817.943,914397.3403,928496.3403,,
KN_TTL,GCC,T2,Work,KN_A2,No. of GCC Citizens Working in other GCC States (Governmental Sector),KN_N1,Emirati,KN_T,Total,,,,,,,,,,,,,,,,,71,72,71,70,62,59,,
