COUNTRY,FREQUENCY,INDICATOR,UNIT,OBS_COMMENTS,DATA STATUS,DATA SOURCES,DATA CONFIDENTIALITY,TIME_PERIOD,OBS_VALUE
Emirates,Monthly,CBs' Total Assets / Liabilities,"United States Dollar, Million",,,,,2016-01,96214
Emirates,Monthly,CBs' Total Assets / Liabilities,"United States Dollar, Million",,,,,2016-02,99011
Emirates,Monthly,CBs' Total Assets / Liabilities,"United States Dollar, Million",,,,,2016-03,97747
Emirates,Monthly,CBs' Total Assets / Liabilities,"United States Dollar, Million",,,,,2016-04,102468
Emirates,Monthly,CBs' Total Assets / Liabilities,"United States Dollar, Million",,,,,2016-05,96117
Emirates,Monthly,CBs' Total Assets / Liabilities,"United States Dollar, Million",,,,,2016-06,99319
Emirates,Monthly,CBs' Total Assets / Liabilities,"United States Dollar, Million",,,,,2016-07,100146
Emirates,Monthly,CBs' Total Assets / Liabilities,"United States Dollar, Million",,,,,2016-08,96069
Emirates,Monthly,CBs' Total Assets / Liabilities,"United States Dollar, Million",,,,,2016-09,96291
Emirates,Monthly,CBs' Total Assets / Liabilities,"United States Dollar, Million",,,,,2016-10,95446
Emirates,Monthly,CBs' Total Assets / Liabilities,"United States Dollar, Million",,,,,2016-11,92538
Emirates,Monthly,CBs' Total Assets / Liabilities,"United States Dollar, Million",,,,,2016-12,99238
Emirates,Monthly,CBs' Total Assets / Liabilities,"United States Dollar, Million",,,,,2017-01,96354
Emirates,Monthly,CBs' Total Assets / Liabilities,"United States Dollar, Million",,,,,2017-02,99338
Emirates,Monthly,CBs' Total Assets / Liabilities,"United States Dollar, Million",,,,,2017-03,103332
Emirates,Monthly,CBs' Total Assets / Liabilities,"United States Dollar, Million",,,,,2017-04,102110
Emirates,Monthly,CBs' Total Assets / Liabilities,"United States Dollar, Million",,,,,2017-05,104040
Emirates,Monthly,CBs' Total Assets / Liabilities,"United States Dollar, Million",,,,,2017-06,106728
Emirates,Monthly,CBs' Total Assets / Liabilities,"United States Dollar, Million",,,,,2017-07,104864
Emirates,Monthly,CBs' Total Assets / Liabilities,"United States Dollar, Million",,,,,2017-08,106277
Emirates,Monthly,CBs' Total Assets / Liabilities,"United States Dollar, Million",,,,,2017-09,107993
Emirates,Monthly,CBs' Total Assets / Liabilities,"United States Dollar, Million",,,,,2017-10,102676
Emirates,Monthly,CBs' Total Assets / Liabilities,"United States Dollar, Million",,,,,2017-11,104883
Emirates,Monthly,CBs' Total Assets / Liabilities,"United States Dollar, Million",,,,,2017-12,110653
