COUNTRY,PRODUCT,FLOW,INDICATOR,UNIT,DATA SOURCES,TIME_PERIOD,OBS_VALUE,OBS_COMMENTS,DATA STATUS,DATA CONFIDENTIALITY
Emirates,Crude oil,Primary production,Crude oil production,1000 b/d,Federal Competitiveness and Statistics Authority,2010,2324,,,
Emirates,Crude oil,Primary production,Crude oil production,1000 b/d,Federal Competitiveness and Statistics Authority,2011,2564,,,
Emirates,Crude oil,Primary production,Crude oil production,1000 b/d,Federal Competitiveness and Statistics Authority,2012,2653,,,
Emirates,Crude oil,Primary production,Crude oil production,1000 b/d,Federal Competitiveness and Statistics Authority,2013,2797,,,
Emirates,Crude oil,Primary production,Crude oil production,1000 b/d,Federal Competitiveness and Statistics Authority,2014,2793.7,,,
Emirates,Crude oil,Primary production,Crude oil production,1000 b/d,Federal Competitiveness and Statistics Authority,2015,2989,,,
Emirates,Crude oil,Primary production,Crude oil production,1000 b/d,Federal Competitiveness and Statistics Authority,2016,3087.9928142076506,,,
Emirates,Crude oil,Primary production,Crude oil production,1000 b/d,Federal Competitiveness and Statistics Authority,2017,2967,,,
Emirates,Crude oil,Primary production,Crude oil production,1000 b/d,Federal Competitiveness and Statistics Authority,2018,3007.2,,,
Emirates,Crude oil,Primary production,Crude oil production,1000 b/d,Federal Competitiveness and Statistics Authority,2019,3058,,,
Emirates,Crude oil,Primary production,Crude oil production,1000 b/d,Federal Competitiveness and Statistics Authority,2020,2780.25,,,
Emirates,Crude oil,Primary production,Crude oil production,1000 b/d,Federal Competitiveness and Statistics Authority,2021,2717.603,,,
Emirates,Crude oil,Primary production,Crude oil production,1000 b/d,Federal Competitiveness and Statistics Authority,2022,3064.181,,,
Emirates,Crude oil,Primary production,Crude oil production,1000 b/d,Federal Competitiveness and Statistics Authority,2023,2944.288,,,
Emirates,Crude oil,Exports,Crude oil exports,1000 b/d,Federal Competitiveness and Statistics Authority,2010,2146,,,
Emirates,Crude oil,Exports,Crude oil exports,1000 b/d,Federal Competitiveness and Statistics Authority,2011,2457,,,
Emirates,Crude oil,Exports,Crude oil exports,1000 b/d,Federal Competitiveness and Statistics Authority,2012,2539.9397260273972,,,
Emirates,Crude oil,Exports,Crude oil exports,1000 b/d,Federal Competitiveness and Statistics Authority,2013,2578.9999999999995,,,
Emirates,Crude oil,Exports,Crude oil exports,1000 b/d,Federal Competitiveness and Statistics Authority,2014,2557,,,
Emirates,Crude oil,Exports,Crude oil exports,1000 b/d,Federal Competitiveness and Statistics Authority,2015,2501.0000000000005,,,
Emirates,Crude oil,Exports,Crude oil exports,1000 b/d,Federal Competitiveness and Statistics Authority,2016,2408,,,
Emirates,Crude oil,Exports,Crude oil exports,1000 b/d,Federal Competitiveness and Statistics Authority,2017,2379,,,
Emirates,Crude oil,Exports,Crude oil exports,1000 b/d,Federal Competitiveness and Statistics Authority,2018,2296.5,,,
Emirates,Crude oil,Exports,Crude oil exports,1000 b/d,Federal Competitiveness and Statistics Authority,2019,2414,,,
Emirates,Crude oil,Exports,Crude oil exports,1000 b/d,Federal Competitiveness and Statistics Authority,2020,2417.95,,,
Emirates,Crude oil,Exports,Crude oil exports,1000 b/d,Federal Competitiveness and Statistics Authority,2021,2304.91,,,
Emirates,Crude oil,Exports,Crude oil exports,1000 b/d,Federal Competitiveness and Statistics Authority,2022,2717,,,
Emirates,Crude oil,Exports,Crude oil exports,1000 b/d,Federal Competitiveness and Statistics Authority,2023,2651.1,,,
Emirates,Crude oil,Transformation input -Refineries,Crude oil pumped to the refinery,1000 b,Federal Competitiveness and Statistics Authority,2010,208415,,,
Emirates,Crude oil,Transformation input -Refineries,Crude oil pumped to the refinery,1000 b,Federal Competitiveness and Statistics Authority,2011,231775,,,
Emirates,Crude oil,Transformation input -Refineries,Crude oil pumped to the refinery,1000 b,Federal Competitiveness and Statistics Authority,2012,232870,,,
Emirates,Crude oil,Transformation input -Refineries,Crude oil pumped to the refinery,1000 b,Federal Competitiveness and Statistics Authority,2013,237250,,,
Emirates,Crude oil,Transformation input -Refineries,Crude oil pumped to the refinery,1000 b,Federal Competitiveness and Statistics Authority,2014,234695,,,
Emirates,Crude oil,Transformation input -Refineries,Crude oil pumped to the refinery,1000 b,Federal Competitiveness and Statistics Authority,2015,400770,,,
Emirates,Crude oil,Transformation input -Refineries,Crude oil pumped to the refinery,1000 b,Federal Competitiveness and Statistics Authority,2016,393470,,,
Emirates,Crude oil,Transformation input -Refineries,Crude oil pumped to the refinery,1000 b,Federal Competitiveness and Statistics Authority,2017,408435,,,
Emirates,Crude oil,Transformation input -Refineries,Crude oil pumped to the refinery,1000 b,Federal Competitiveness and Statistics Authority,2018,400040,,,
Emirates,Crude oil,Transformation input -Refineries,Crude oil pumped to the refinery,1000 b,Federal Competitiveness and Statistics Authority,2019,378505,,,
Emirates,Crude oil,Transformation input -Refineries,Crude oil pumped to the refinery,1000 b,Federal Competitiveness and Statistics Authority,2020,342539.39999999997,,,
Emirates,Crude oil,Transformation input -Refineries,Crude oil pumped to the refinery,1000 b,Federal Competitiveness and Statistics Authority,2021,387812.5,,,
Emirates,Crude oil,Transformation input -Refineries,Crude oil pumped to the refinery,1000 b,Federal Competitiveness and Statistics Authority,2022,348246.5,,,
Emirates,Crude oil,Transformation input -Refineries,Crude oil pumped to the refinery,1000 b,Federal Competitiveness and Statistics Authority,2023,357378.8,,,
Emirates,Crude oil,Reserve,Crude oil reserves,B b,Federal Competitiveness and Statistics Authority,2010,97.8,,,
Emirates,Crude oil,Reserve,Crude oil reserves,B b,Federal Competitiveness and Statistics Authority,2011,97.8,,,
Emirates,Crude oil,Reserve,Crude oil reserves,B b,Federal Competitiveness and Statistics Authority,2012,97.8,,,
Emirates,Crude oil,Reserve,Crude oil reserves,B b,Federal Competitiveness and Statistics Authority,2013,97.8,,,
Emirates,Crude oil,Reserve,Crude oil reserves,B b,Federal Competitiveness and Statistics Authority,2014,97.8,,,
Emirates,Crude oil,Reserve,Crude oil reserves,B b,Federal Competitiveness and Statistics Authority,2015,97.8,,,
Emirates,Crude oil,Reserve,Crude oil reserves,B b,Federal Competitiveness and Statistics Authority,2016,97.8,,,
Emirates,Crude oil,Reserve,Crude oil reserves,B b,Federal Competitiveness and Statistics Authority,2017,97.8,,,
Emirates,Crude oil,Reserve,Crude oil reserves,B b,Federal Competitiveness and Statistics Authority,2018,97.8,,,
Emirates,Crude oil,Reserve,Crude oil reserves,B b,Federal Competitiveness and Statistics Authority,2019,105,,,
Emirates,Crude oil,Reserve,Crude oil reserves,B b,Federal Competitiveness and Statistics Authority,2020,107,,,
Emirates,Crude oil,Reserve,Crude oil reserves,B b,Federal Competitiveness and Statistics Authority,2021,111,,,
Emirates,Crude oil,Reserve,Crude oil reserves,B b,Federal Competitiveness and Statistics Authority,2022,113,,,
Emirates,Crude oil,Reserve,Crude oil reserves,B b,Federal Competitiveness and Statistics Authority,2023,113,,,
Emirates,Natural Gas Liquids(NGL),Primary production,Production of natural gas liquids,1000 b/d,Federal Competitiveness and Statistics Authority,2010,602.9734218009478,,,
Emirates,Natural Gas Liquids(NGL),Primary production,Production of natural gas liquids,1000 b/d,Federal Competitiveness and Statistics Authority,2011,687.4189573459714,,,
Emirates,Natural Gas Liquids(NGL),Primary production,Production of natural gas liquids,1000 b/d,Federal Competitiveness and Statistics Authority,2012,771.1,,,
Emirates,Natural Gas Liquids(NGL),Primary production,Production of natural gas liquids,1000 b/d,Federal Competitiveness and Statistics Authority,2013,813.5,,,
Emirates,Natural Gas Liquids(NGL),Primary production,Production of natural gas liquids,1000 b/d,Federal Competitiveness and Statistics Authority,2014,704.7,,,
Emirates,Natural Gas Liquids(NGL),Primary production,Production of natural gas liquids,1000 b/d,Federal Competitiveness and Statistics Authority,2015,828,,,
Emirates,Natural Gas Liquids(NGL),Primary production,Production of natural gas liquids,1000 b/d,Federal Competitiveness and Statistics Authority,2016,848.9,,,
Emirates,Natural Gas Liquids(NGL),Primary production,Production of natural gas liquids,1000 b/d,Federal Competitiveness and Statistics Authority,2017,807.3,,,
Emirates,Natural Gas Liquids(NGL),Primary production,Production of natural gas liquids,1000 b/d,Federal Competitiveness and Statistics Authority,2018,832,,,
Emirates,Natural Gas Liquids(NGL),Primary production,Production of natural gas liquids,1000 b/d,Federal Competitiveness and Statistics Authority,2019,852.49,,,
Emirates,Natural Gas Liquids(NGL),Primary production,Production of natural gas liquids,1000 b/d,Federal Competitiveness and Statistics Authority,2020,860.1,,,
Emirates,Natural Gas Liquids(NGL),Primary production,Production of natural gas liquids,1000 b/d,Federal Competitiveness and Statistics Authority,2021,957.3,,,
Emirates,Natural Gas Liquids(NGL),Primary production,Production of natural gas liquids,1000 b/d,Federal Competitiveness and Statistics Authority,2022,1058.01,,,
Emirates,Natural Gas Liquids(NGL),Primary production,Production of natural gas liquids,1000 b/d,Federal Competitiveness and Statistics Authority,2023,1167.1,,,
Emirates,Liquefied petroleum gases (LPG),Transformation output -Refineries,Production of liquefied petroleum gases (LPG),1000 b,Federal Competitiveness and Statistics Authority,2010,8538.6,,,
Emirates,Liquefied petroleum gases (LPG),Transformation output -Refineries,Production of liquefied petroleum gases (LPG),1000 b,Federal Competitiveness and Statistics Authority,2011,8857.800000000001,,,
Emirates,Liquefied petroleum gases (LPG),Transformation output -Refineries,Production of liquefied petroleum gases (LPG),1000 b,Federal Competitiveness and Statistics Authority,2012,6737.400000000001,,,
Emirates,Liquefied petroleum gases (LPG),Transformation output -Refineries,Production of liquefied petroleum gases (LPG),1000 b,Federal Competitiveness and Statistics Authority,2013,10328.4,,,
Emirates,Liquefied petroleum gases (LPG),Transformation output -Refineries,Production of liquefied petroleum gases (LPG),1000 b,Federal Competitiveness and Statistics Authority,2014,10374,,,
Emirates,Liquefied petroleum gases (LPG),Transformation output -Refineries,Production of liquefied petroleum gases (LPG),1000 b,Federal Competitiveness and Statistics Authority,2015,11411.4,,,
Emirates,Liquefied petroleum gases (LPG),Transformation output -Refineries,Production of liquefied petroleum gases (LPG),1000 b,Federal Competitiveness and Statistics Authority,2016,11970,,,
Emirates,Liquefied petroleum gases (LPG),Transformation output -Refineries,Production of liquefied petroleum gases (LPG),1000 b,Federal Competitiveness and Statistics Authority,2017,11844.6,,,
Emirates,Liquefied petroleum gases (LPG),Transformation output -Refineries,Production of liquefied petroleum gases (LPG),1000 b,Federal Competitiveness and Statistics Authority,2018,9453.655200000001,,,
Emirates,Liquefied petroleum gases (LPG),Transformation output -Refineries,Production of liquefied petroleum gases (LPG),1000 b,Federal Competitiveness and Statistics Authority,2019,6688.152,,,
Emirates,Liquefied petroleum gases (LPG),Transformation output -Refineries,Production of liquefied petroleum gases (LPG),1000 b,Federal Competitiveness and Statistics Authority,2020,5819.400000000001,,,
