COUNTRY,PARTENER COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,OBS_COMMENTS,DATA STATUS,DATA SOURCES,DATA CONFIDENTIALITY
Emirates,Emirates,Expenditure of tourist   (US$ Mn),Annual,2019,30730.592233911222,,,,
Emirates,Emirates,Expenditure of tourist   (US$ Mn),Annual,2020,24615,,,,
Emirates,Emirates,Expenditure of tourist   (US$ Mn),Annual,2021,34445,,,,
Emirates,Emirates,Male   (000),Annual,2018,335.5,,,,
Emirates,Emirates,Female   (000),Annual,2018,73.6,,,,
Emirates,Emirates,Number of full-time equivalent jobs    (000),Annual,2018,409.1,,,,
Emirates,Emirates,Number of full-time equivalent jobs    (000),Annual,2019,531.3220659080789,,,,
Emirates,Emirates,Male   (000),Annual,2018,335.5,,,,
Emirates,Emirates,Male   (000),Annual,2019,414.0300238617647,,,,
Emirates,Emirates,Female   (000),Annual,2018,73.6,,,,
Emirates,Emirates,Female   (000),Annual,2019,117.29204204631422,,,,
Gulf Cooperation Council,Gulf Cooperation Council,Accommodation for visitors (hotels and similar establishments)   (Unit),Annual,2016,9491,,,,
Gulf Cooperation Council,Gulf Cooperation Council,Accommodation for visitors (hotels and similar establishments)   (Unit),Annual,2017,9546,,,,
Gulf Cooperation Council,Gulf Cooperation Council,Expenditure by type of tourist   (US$ Mn),Annual,2019,77810.80433705098,,,,
Gulf Cooperation Council,Gulf Cooperation Council,Expenditure by type of tourist   (US$ Mn),Annual,2020,35361.47872838394,,,,
Gulf Cooperation Council,Gulf Cooperation Council,Expenditure by type of tourist   (US$ Mn),Annual,2021,45623.06538957552,,,,
Oman,Oman,other personal purposes   (000),Annual,2018,9402.661725681752,,,,
Oman,Oman,other personal purposes   (000),Annual,2019,9885.8757849574,,,,
Oman,Oman,other personal purposes   (000),Annual,2020,7725.995247546694,,,,
Oman,Oman,other personal purposes   (000),Annual,2021,9266.14482448417,,,,
Oman,Oman,other personal purposes   (000),Annual,2022,11115.93212499676,,,,
Oman,Oman,other personal purposes   (000),Annual,2023,12950.747817889314,,,,
Oman,Oman,Air   (000),Annual,2018,4685.0977399152,,,,
Oman,Oman,Air   (000),Annual,2019,4925.870529903391,,,,
Oman,Oman,Air   (000),Annual,2020,3849.659163427159,,,,
Oman,Oman,Air   (000),Annual,2021,4617.074977433584,,,,
