COUNTRY,NATIONALITY,GENDER,AGE,FREQUENCY,TIME_PERIOD,OBS_VALUE,OBS_COMMENTS,DATA STATUS,DATA SOURCES,DATA CONFIDENTIALITY
Oman,Citzens,Total,Not Stated,Annual,2011,46,,,,
Oman,Citzens,Total,Not Stated,Annual,2012,23,,,,
Emirates,Total,Total,All Ages,Annual,2010,6965488,,,,
Emirates,Total,Total,All Ages,Annual,2011,7243588.000000001,,,,
Emirates,Total,Total,All Ages,Annual,2012,7539306.999999999,,,,
Emirates,Total,Total,All Ages,Annual,2013,7846755,,,,
Emirates,Total,Total,All Ages,Annual,2014,8272124,,,,
Emirates,Total,Total,All Ages,Annual,2015,8738350.000000002,,,,
Emirates,Total,Total,All Ages,Annual,2016,9131839.000000002,,,,
Emirates,Total,Total,All Ages,Annual,2017,9314611,,,,
Emirates,Total,Total,All Ages,Annual,2018,9378791.000000002,,,,
Emirates,Total,Total,All Ages,Annual,2019,9512777.999999996,,,,
Emirates,Total,Total,All Ages,Annual,2020,9289296.999999996,,,,
Emirates,Total,Total,All Ages,Annual,2021,9861006.999999998,,,,
Emirates,Total,Total,All Ages,Annual,2022,10288946.000000002,,,,
Emirates,Total,Total,All Ages,Annual,2023,10678555.999999998,,,,
Emirates,Total,Total,All Ages,Annual,2024,11294243,,,,
Bahrain,Total,Total,All Ages,Annual,2010,1228543,,,,
Bahrain,Total,Total,All Ages,Annual,2011,1195020,,,,
Bahrain,Total,Total,All Ages,Annual,2012,1208964,,,,
Bahrain,Total,Total,All Ages,Annual,2013,1253191,,,,
Bahrain,Total,Total,All Ages,Annual,2014,1314562,,,,
Bahrain,Total,Total,All Ages,Annual,2015,1370322,,,,
Bahrain,Total,Total,All Ages,Annual,2016,1423726,,,,
Bahrain,Total,Total,All Ages,Annual,2017,1501116,,,,
Bahrain,Total,Total,All Ages,Annual,2018,1503091,,,,
Bahrain,Total,Total,All Ages,Annual,2019,1483756,,,,
Bahrain,Total,Total,All Ages,Annual,2020,1472204,,,,
Bahrain,Total,Total,All Ages,Annual,2021,1504365,,,,
Bahrain,Total,Total,All Ages,Annual,2022,1524693,,,,
Bahrain,Total,Total,All Ages,Annual,2023,1577059,,,,
Bahrain,Total,Total,All Ages,Annual,2024,1588670,,,,
Gulf Cooperation Council,Total,Total,All Ages,Annual,2010,39594363.00000001,,,,
Gulf Cooperation Council,Total,Total,All Ages,Annual,2011,41638015.99999999,,,,
Gulf Cooperation Council,Total,Total,All Ages,Annual,2012,43641440,,,,
Gulf Cooperation Council,Total,Total,All Ages,Annual,2013,46030995,,,,
Gulf Cooperation Council,Total,Total,All Ages,Annual,2014,47872447,,,,
Gulf Cooperation Council,Total,Total,All Ages,Annual,2015,50492977,,,,
Gulf Cooperation Council,Total,Total,All Ages,Annual,2016,52624151.99999999,,,,
Gulf Cooperation Council,Total,Total,All Ages,Annual,2017,53304570.99999999,,,,
Gulf Cooperation Council,Total,Total,All Ages,Annual,2018,52860149,,,,
Gulf Cooperation Council,Total,Total,All Ages,Annual,2019,52941983,,,,
Gulf Cooperation Council,Total,Total,All Ages,Annual,2020,53964744.00000001,,,,
Gulf Cooperation Council,Total,Total,All Ages,Annual,2021,53642263.00000001,,,,
Gulf Cooperation Council,Total,Total,All Ages,Annual,2022,56648521.99999999,,,,
Gulf Cooperation Council,Total,Total,All Ages,Annual,2023,59100223.99999999,,,,
Gulf Cooperation Council,Total,Total,All Ages,Annual,2024,61505543,,,,
Kuwait,Total,Total,All Ages,Annual,2010,2933268,,,,
Kuwait,Total,Total,All Ages,Annual,2011,3098892,,,,
Kuwait,Total,Total,All Ages,Annual,2012,3268431,,,,
Kuwait,Total,Total,All Ages,Annual,2013,3448139,,,,
Kuwait,Total,Total,All Ages,Annual,2014,3767415,,,,
Kuwait,Total,Total,All Ages,Annual,2015,3971031,,,,
Kuwait,Total,Total,All Ages,Annual,2016,4082704,,,,
Kuwait,Total,Total,All Ages,Annual,2017,4226920,,,,
Kuwait,Total,Total,All Ages,Annual,2018,4420110,,,,
Kuwait,Total,Total,All Ages,Annual,2019,4464521,,,,
Kuwait,Total,Total,All Ages,Annual,2020,4336012,,,,
Kuwait,Total,Total,All Ages,Annual,2021,4216900,,,,
Kuwait,Total,Total,All Ages,Annual,2022,4793568,,,,
Kuwait,Total,Total,All Ages,Annual,2023,4913271,,,,
Kuwait,Total,Total,All Ages,Annual,2024,4881254,,,,
Oman,Total,Total,All Ages,Annual,2010,2773479,,,,
Oman,Total,Total,All Ages,Annual,2011,3275932,,,,
Oman,Total,Total,All Ages,Annual,2012,3622974,,,,
Oman,Total,Total,All Ages,Annual,2013,3855206,,,,
Oman,Total,Total,All Ages,Annual,2014,3992893,,,,
Oman,Total,Total,All Ages,Annual,2015,4159102,,,,
Oman,Total,Total,All Ages,Annual,2016,4414051,,,,
Oman,Total,Total,All Ages,Annual,2017,4559963,,,,
Oman,Total,Total,All Ages,Annual,2018,4601706,,,,
Oman,Total,Total,All Ages,Annual,2019,4617927,,,,
Oman,Total,Total,All Ages,Annual,2020,4481042,,,,
Oman,Total,Total,All Ages,Annual,2021,4527446,,,,
Oman,Total,Total,All Ages,Annual,2022,4933850,,,,
Oman,Total,Total,All Ages,Annual,2023,5165602,,,,
Oman,Total,Total,All Ages,Annual,2024,5268072,,,,
Qatar,Total,Total,All Ages,Annual,2010,1715098,,,,
Qatar,Total,Total,All Ages,Annual,2011,1732717,,,,
Qatar,Total,Total,All Ages,Annual,2012,1832903,,,,
Qatar,Total,Total,All Ages,Annual,2013,2003700,,,,
Qatar,Total,Total,All Ages,Annual,2014,2216180,,,,
Qatar,Total,Total,All Ages,Annual,2015,2437790,,,,
Qatar,Total,Total,All Ages,Annual,2016,2617634,,,,
Qatar,Total,Total,All Ages,Annual,2017,2724606,,,,
Qatar,Total,Total,All Ages,Annual,2018,2760170,,,,
Qatar,Total,Total,All Ages,Annual,2019,2799202,,,,
Qatar,Total,Total,All Ages,Annual,2020,2833679,,,,
Qatar,Total,Total,All Ages,Annual,2021,2748162,,,,
Qatar,Total,Total,All Ages,Annual,2022,2932241,,,,
Qatar,Total,Total,All Ages,Annual,2023,3063005,,,,
Qatar,Total,Total,All Ages,Annual,2024,3173024,,,,
Saudi Arabia,Total,Total,All Ages,Annual,2010,23978487,,,,
Saudi Arabia,Total,Total,All Ages,Annual,2011,25091867,,,,
Saudi Arabia,Total,Total,All Ages,Annual,2012,26168861,,,,
Saudi Arabia,Total,Total,All Ages,Annual,2013,27624004,,,,
Saudi Arabia,Total,Total,All Ages,Annual,2014,28309273,,,,
Saudi Arabia,Total,Total,All Ages,Annual,2015,29816382,,,,
Saudi Arabia,Total,Total,All Ages,Annual,2016,30954198,,,,
Saudi Arabia,Total,Total,All Ages,Annual,2017,30977355,,,,
Saudi Arabia,Total,Total,All Ages,Annual,2018,30196281,,,,
Saudi Arabia,Total,Total,All Ages,Annual,2019,30063799,,,,
Saudi Arabia,Total,Total,All Ages,Annual,2020,31552510,,,,
Saudi Arabia,Total,Total,All Ages,Annual,2021,30784383,,,,
Saudi Arabia,Total,Total,All Ages,Annual,2022,32175224,,,,
Saudi Arabia,Total,Total,All Ages,Annual,2023,33702731,,,,
Saudi Arabia,Total,Total,All Ages,Annual,2024,35300280,,,,
Emirates,Citzens,Total,All Ages,Annual,2010,947997,,,,
Emirates,Citzens,Total,All Ages,Annual,2011,0,,,,
Emirates,Citzens,Total,All Ages,Annual,2012,0,,,,
Emirates,Citzens,Total,All Ages,Annual,2013,0,,,,
Emirates,Citzens,Total,All Ages,Annual,2014,0,,,,
Emirates,Citzens,Total,All Ages,Annual,2015,0,,,,
Emirates,Citzens,Total,All Ages,Annual,2016,0,,,,
Emirates,Citzens,Total,All Ages,Annual,2017,0,,,,
Emirates,Citzens,Total,All Ages,Annual,2018,0,,,,
Emirates,Citzens,Total,All Ages,Annual,2019,0,,,,
Emirates,Citzens,Total,All Ages,Annual,2020,0,,,,
Emirates,Citzens,Total,All Ages,Annual,2021,0,,,,
Emirates,Citzens,Total,All Ages,Annual,2022,0,,,,
Emirates,Citzens,Total,All Ages,Annual,2023,0,,,,
Bahrain,Citzens,Total,All Ages,Annual,2010,570687,,,,
Bahrain,Citzens,Total,All Ages,Annual,2011,584688,,,,
Bahrain,Citzens,Total,All Ages,Annual,2012,599629,,,,
Bahrain,Citzens,Total,All Ages,Annual,2013,614830,,,,
Bahrain,Citzens,Total,All Ages,Annual,2014,630744,,,,
Bahrain,Citzens,Total,All Ages,Annual,2015,647835,,,,
Bahrain,Citzens,Total,All Ages,Annual,2016,664707,,,,
Bahrain,Citzens,Total,All Ages,Annual,2017,677506,,,,
Bahrain,Citzens,Total,All Ages,Annual,2018,689714,,,,
Bahrain,Citzens,Total,All Ages,Annual,2019,701827,,,,
Bahrain,Citzens,Total,All Ages,Annual,2020,713263,,,,
Bahrain,Citzens,Total,All Ages,Annual,2021,719333,,,,
Bahrain,Citzens,Total,All Ages,Annual,2022,714011,,,,
Bahrain,Citzens,Total,All Ages,Annual,2023,727352,,,,
Bahrain,Citzens,Total,All Ages,Annual,2024,739736,,,,
Kuwait,Citzens,Total,All Ages,Annual,2010,1061731,,,,
Kuwait,Citzens,Total,All Ages,Annual,2011,1096907,,,,
