COUNTRY,INDICATOR,LABOUR ASPECT,NATIONALITY,UNIT,GENDER,FREQUENCY,DATA SOURCES,DATA STATUS,TIME_PERIOD,OBS_VALUE,OBS_COMMENTS,DATA CONFIDENTIALITY
Emirates,Labour Force Participation Rate,Total,Total,Percentage (%),Total,Annual,,,2016,80.6,,
Emirates,Labour Force Participation Rate,Total,Total,Percentage (%),Total,Annual,,,2017,80.8,,
Emirates,Labour Force Participation Rate,Total,Total,Percentage (%),Total,Annual,,,2018,80.9,,
Emirates,Labour Force Participation Rate,Total,Total,Percentage (%),Total,Annual,,,2019,80.11464,,
Emirates,Labour Force Participation Rate,Total,Citzens,Percentage (%),Total,Annual,,,2016,47.5,,
Emirates,Labour Force Participation Rate,Total,Citzens,Percentage (%),Total,Annual,,,2017,47.6,,
Emirates,Labour Force Participation Rate,Total,Citzens,Percentage (%),Total,Annual,,,2018,46.4,,
Emirates,Labour Force Participation Rate,Total,Citzens,Percentage (%),Total,Annual,,,2019,47.6298,,
Emirates,Labour Force Participation Rate,Total,Non Citzens,Percentage (%),Total,Annual,,,2016,83.5,,
Emirates,Labour Force Participation Rate,Total,Non Citzens,Percentage (%),Total,Annual,,,2017,83.7,,
Emirates,Labour Force Participation Rate,Total,Non Citzens,Percentage (%),Total,Annual,,,2018,84.5,,
Emirates,Labour Force Participation Rate,Total,Non Citzens,Percentage (%),Total,Annual,,,2019,83.33123,,
Emirates,Unemployment Rate,Total,Total,Percentage (%),Total,Annual,,,2016,1.6,,
Emirates,Unemployment Rate,Total,Total,Percentage (%),Total,Annual,,,2017,2.45836,,
Emirates,Unemployment Rate,Total,Total,Percentage (%),Total,Annual,,,2018,2.2,,
Emirates,Unemployment Rate,Total,Total,Percentage (%),Total,Annual,,,2019,2.226987,,
Emirates,Unemployment Rate,Total,Citzens,Percentage (%),Total,Annual,,,2016,6.9,,
Emirates,Unemployment Rate,Total,Citzens,Percentage (%),Total,Annual,,,2018,11.8,,
Emirates,Unemployment Rate,Total,Non Citzens,Percentage (%),Total,Annual,,,2016,1.4,,
Emirates,Unemployment Rate,Total,Non Citzens,Percentage (%),Total,Annual,,,2018,1.6,,
Emirates,Labour Force Participation Rate,Total,Total,Percentage (%),Female,Annual,,,2016,51.2,,
Emirates,Labour Force Participation Rate,Total,Total,Percentage (%),Female,Annual,,,2017,52.6,,
Emirates,Labour Force Participation Rate,Total,Total,Percentage (%),Female,Annual,,,2018,52.7,,
Emirates,Labour Force Participation Rate,Total,Total,Percentage (%),Female,Annual,,,2019,57.47475,,
Emirates,Labour Force Participation Rate,Total,Citzens,Percentage (%),Female,Annual,,,2016,30.9,,
Emirates,Labour Force Participation Rate,Total,Citzens,Percentage (%),Female,Annual,,,2017,32.4,,
Emirates,Labour Force Participation Rate,Total,Citzens,Percentage (%),Female,Annual,,,2018,32.3,,
Emirates,Labour Force Participation Rate,Total,Citzens,Percentage (%),Female,Annual,,,2019,33.23922,,
Emirates,Labour Force Participation Rate,Total,Non Citzens,Percentage (%),Female,Annual,,,2016,54.3,,
Emirates,Labour Force Participation Rate,Total,Non Citzens,Percentage (%),Female,Annual,,,2017,55.9,,
Emirates,Labour Force Participation Rate,Total,Non Citzens,Percentage (%),Female,Annual,,,2018,56.4,,
Emirates,Labour Force Participation Rate,Total,Non Citzens,Percentage (%),Female,Annual,,,2019,61.14473,,
Emirates,Unemployment Rate,Total,Total,Percentage (%),Female,Annual,,,2016,4,,
Emirates,Unemployment Rate,Total,Total,Percentage (%),Female,Annual,,,2017,6.760167,,
Emirates,Unemployment Rate,Total,Total,Percentage (%),Female,Annual,,,2018,5.9,,
Emirates,Unemployment Rate,Total,Total,Percentage (%),Female,Annual,,,2019,5.104399,,
Emirates,Unemployment Rate,Total,Citzens,Percentage (%),Female,Annual,,,2016,12,,
Emirates,Unemployment Rate,Total,Citzens,Percentage (%),Female,Annual,,,2018,19.9,,
Emirates,Unemployment Rate,Total,Non Citzens,Percentage (%),Female,Annual,,,2016,3.3,,
Emirates,Unemployment Rate,Total,Non Citzens,Percentage (%),Female,Annual,,,2018,4.4,,
Emirates,Labour Force Participation Rate,Total,Total,Percentage (%),Male,Annual,,,2016,93.2,,
Emirates,Labour Force Participation Rate,Total,Total,Percentage (%),Male,Annual,,,2017,92.8,,
Emirates,Labour Force Participation Rate,Total,Total,Percentage (%),Male,Annual,,,2018,93,,
Emirates,Labour Force Participation Rate,Total,Total,Percentage (%),Male,Annual,,,2019,92.00254,,
Emirates,Labour Force Participation Rate,Total,Citzens,Percentage (%),Male,Annual,,,2016,64.1,,
Emirates,Labour Force Participation Rate,Total,Citzens,Percentage (%),Male,Annual,,,2017,62.9,,
Emirates,Labour Force Participation Rate,Total,Citzens,Percentage (%),Male,Annual,,,2018,60.4,,
Emirates,Labour Force Participation Rate,Total,Citzens,Percentage (%),Male,Annual,,,2019,62.1693,,
Emirates,Labour Force Participation Rate,Total,Non Citzens,Percentage (%),Male,Annual,,,2016,95,,
Emirates,Labour Force Participation Rate,Total,Non Citzens,Percentage (%),Male,Annual,,,2017,94.6,,
Emirates,Labour Force Participation Rate,Total,Non Citzens,Percentage (%),Male,Annual,,,2018,95.3,,
Emirates,Labour Force Participation Rate,Total,Non Citzens,Percentage (%),Male,Annual,,,2019,94.19121,,
Emirates,Unemployment Rate,Total,Total,Percentage (%),Male,Annual,,,2016,1.1,,
Emirates,Unemployment Rate,Total,Total,Percentage (%),Male,Annual,,,2017,1.410591,,
Emirates,Unemployment Rate,Total,Total,Percentage (%),Male,Annual,,,2018,1.3,,
Emirates,Unemployment Rate,Total,Total,Percentage (%),Male,Annual,,,2019,1.283121,,
Emirates,Unemployment Rate,Total,Citzens,Percentage (%),Male,Annual,,,2016,4.5,,
Emirates,Unemployment Rate,Total,Citzens,Percentage (%),Male,Annual,,,2018,7.5,,
Emirates,Unemployment Rate,Total,Non Citzens,Percentage (%),Male,Annual,,,2016,0.9,,
Emirates,Unemployment Rate,Total,Non Citzens,Percentage (%),Male,Annual,,,2018,0.9,,
Bahrain,Working Age Population,Total,Total,Number (#),Total,Annual,,,2011,944983,,
Bahrain,Working Age Population,Total,Total,Number (#),Total,Annual,,,2012,971748,,
Bahrain,Working Age Population,Total,Total,Number (#),Total,Annual,,,2013,1009536,,
Bahrain,Working Age Population,Total,Total,Number (#),Total,Annual,,,2014,1044975,,
Bahrain,Working Age Population,Total,Total,Number (#),Total,Annual,,,2015,1085065,,
Bahrain,Working Age Population,Total,Total,Number (#),Total,Annual,,,2016,1140039,,
Bahrain,Working Age Population,Total,Citzens,Number (#),Total,Annual,,,2011,400637,,
Bahrain,Working Age Population,Total,Citzens,Number (#),Total,Annual,,,2012,410555,,
Bahrain,Working Age Population,Total,Citzens,Number (#),Total,Annual,,,2013,417819,,
Bahrain,Working Age Population,Total,Citzens,Number (#),Total,Annual,,,2014,429289,,
Bahrain,Working Age Population,Total,Citzens,Number (#),Total,Annual,,,2015,439665,,
Bahrain,Working Age Population,Total,Citzens,Number (#),Total,Annual,,,2016,452833,,
Bahrain,Working Age Population,Total,Non Citzens,Number (#),Total,Annual,,,2011,544346,,
Bahrain,Working Age Population,Total,Non Citzens,Number (#),Total,Annual,,,2012,561193,,
Bahrain,Working Age Population,Total,Non Citzens,Number (#),Total,Annual,,,2013,591717,,
Bahrain,Working Age Population,Total,Non Citzens,Number (#),Total,Annual,,,2014,615686,,
Bahrain,Working Age Population,Total,Non Citzens,Number (#),Total,Annual,,,2015,645400,,
Bahrain,Working Age Population,Total,Non Citzens,Number (#),Total,Annual,,,2016,687206,,
Bahrain,Inside Labour Force,Total,Total,Number (#),Total,Annual,,,2011,677365,,
Bahrain,Inside Labour Force,Total,Total,Number (#),Total,Annual,,,2012,696749,,
Bahrain,Inside Labour Force,Total,Total,Number (#),Total,Annual,,,2013,727392,,
Bahrain,Inside Labour Force,Total,Total,Number (#),Total,Annual,,,2014,742115,,
Bahrain,Inside Labour Force,Total,Total,Number (#),Total,Annual,,,2015,776565,,
Bahrain,Inside Labour Force,Total,Total,Number (#),Total,Annual,,,2016,820742,,
Bahrain,Inside Labour Force,Total,Citzens,Number (#),Total,Annual,,,2011,197268,,
Bahrain,Inside Labour Force,Total,Citzens,Number (#),Total,Annual,,,2012,198907,,
Bahrain,Inside Labour Force,Total,Citzens,Number (#),Total,Annual,,,2013,201964,,
Bahrain,Inside Labour Force,Total,Citzens,Number (#),Total,Annual,,,2014,207760,,
Bahrain,Inside Labour Force,Total,Citzens,Number (#),Total,Annual,,,2015,211058,,
Bahrain,Inside Labour Force,Total,Citzens,Number (#),Total,Annual,,,2016,216631,,
Bahrain,Inside Labour Force,Total,Non Citzens,Number (#),Total,Annual,,,2011,480097,,
Bahrain,Inside Labour Force,Total,Non Citzens,Number (#),Total,Annual,,,2012,497842,,
Bahrain,Inside Labour Force,Total,Non Citzens,Number (#),Total,Annual,,,2013,525428,,
Bahrain,Inside Labour Force,Total,Non Citzens,Number (#),Total,Annual,,,2014,534355,,
Bahrain,Inside Labour Force,Total,Non Citzens,Number (#),Total,Annual,,,2015,565507,,
Bahrain,Inside Labour Force,Total,Non Citzens,Number (#),Total,Annual,,,2016,604111,,
Bahrain,Unemployed,Total,Total,Number (#),Total,Annual,,,2011,5768,,
Bahrain,Unemployed,Total,Total,Number (#),Total,Annual,,,2012,6788,,
Bahrain,Unemployed,Total,Total,Number (#),Total,Annual,,,2013,8468,,
Bahrain,Unemployed,Total,Total,Number (#),Total,Annual,,,2014,7414,,
Bahrain,Unemployed,Total,Total,Number (#),Total,Annual,,,2015,6946,,
Bahrain,Unemployed,Total,Total,Number (#),Total,Annual,,,2016,8485,,
Bahrain,Unemployed,Total,Citzens,Number (#),Total,Annual,,,2011,5768,,
Bahrain,Unemployed,Total,Citzens,Number (#),Total,Annual,,,2012,6788,,
Bahrain,Unemployed,Total,Citzens,Number (#),Total,Annual,,,2013,8468,,
Bahrain,Unemployed,Total,Citzens,Number (#),Total,Annual,,,2014,7414,,
Bahrain,Unemployed,Total,Citzens,Number (#),Total,Annual,,,2015,6946,,
Bahrain,Unemployed,Total,Citzens,Number (#),Total,Annual,,,2016,8485,,
Bahrain,Outside Labour Force,Total,Total,Number (#),Total,Annual,,,2011,267618,,
Bahrain,Outside Labour Force,Total,Total,Number (#),Total,Annual,,,2012,274999,,
Bahrain,Outside Labour Force,Total,Total,Number (#),Total,Annual,,,2013,282084,,
Bahrain,Outside Labour Force,Total,Total,Number (#),Total,Annual,,,2014,299860,,
Bahrain,Outside Labour Force,Total,Total,Number (#),Total,Annual,,,2015,308500,,
Bahrain,Outside Labour Force,Total,Total,Number (#),Total,Annual,,,2016,319297,,
Bahrain,Outside Labour Force,Total,Citzens,Number (#),Total,Annual,,,2011,203369,,
Bahrain,Outside Labour Force,Total,Citzens,Number (#),Total,Annual,,,2012,211648,,
Bahrain,Outside Labour Force,Total,Citzens,Number (#),Total,Annual,,,2013,215855,,
Bahrain,Outside Labour Force,Total,Citzens,Number (#),Total,Annual,,,2014,221529,,
Bahrain,Outside Labour Force,Total,Citzens,Number (#),Total,Annual,,,2015,228607,,
Bahrain,Outside Labour Force,Total,Citzens,Number (#),Total,Annual,,,2016,236202,,
Bahrain,Outside Labour Force,Total,Non Citzens,Number (#),Total,Annual,,,2011,64249,,
Bahrain,Outside Labour Force,Total,Non Citzens,Number (#),Total,Annual,,,2012,63351,,
Bahrain,Outside Labour Force,Total,Non Citzens,Number (#),Total,Annual,,,2013,66229,,
Bahrain,Outside Labour Force,Total,Non Citzens,Number (#),Total,Annual,,,2014,78331,,
Bahrain,Outside Labour Force,Total,Non Citzens,Number (#),Total,Annual,,,2015,79893,,
Bahrain,Outside Labour Force,Total,Non Citzens,Number (#),Total,Annual,,,2016,83095,,
Bahrain,Labour Force Participation Rate,Total,Total,Percentage (%),Total,Annual,,,2011,71.7,,
Bahrain,Labour Force Participation Rate,Total,Total,Percentage (%),Total,Annual,,,2012,71.7,,
Bahrain,Labour Force Participation Rate,Total,Total,Percentage (%),Total,Annual,,,2013,72.1,,
Bahrain,Labour Force Participation Rate,Total,Total,Percentage (%),Total,Annual,,,2014,71,,
Bahrain,Labour Force Participation Rate,Total,Total,Percentage (%),Total,Annual,,,2015,71.6,,
Bahrain,Labour Force Participation Rate,Total,Total,Percentage (%),Total,Annual,,,2016,72,,
Bahrain,Labour Force Participation Rate,Total,Citzens,Percentage (%),Total,Annual,,,2011,49.2,,
Bahrain,Labour Force Participation Rate,Total,Citzens,Percentage (%),Total,Annual,,,2012,48.4,,
Bahrain,Labour Force Participation Rate,Total,Citzens,Percentage (%),Total,Annual,,,2013,48.3,,
Bahrain,Labour Force Participation Rate,Total,Citzens,Percentage (%),Total,Annual,,,2014,48.4,,
Bahrain,Labour Force Participation Rate,Total,Citzens,Percentage (%),Total,Annual,,,2015,48,,
Bahrain,Labour Force Participation Rate,Total,Citzens,Percentage (%),Total,Annual,,,2016,47.8,,
Bahrain,Labour Force Participation Rate,Total,Non Citzens,Percentage (%),Total,Annual,,,2011,88.2,,
Bahrain,Labour Force Participation Rate,Total,Non Citzens,Percentage (%),Total,Annual,,,2012,88.7,,
Bahrain,Labour Force Participation Rate,Total,Non Citzens,Percentage (%),Total,Annual,,,2013,88.8,,
Bahrain,Labour Force Participation Rate,Total,Non Citzens,Percentage (%),Total,Annual,,,2014,86.8,,
