Flow,Country,Alpha-3 code,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Inward FDI,United Arab Emirates,ARE,19178.25607,19015.94265,18060.75109,18832.87135,20001.01414,21344.12801,22810.53597,27500.03494,29335.69558,29259.23308,26733.69079,28856.94426,37244.33973,41890.99646,48110.03658
Inward FDI,Bahrain,BHR,8084.60632,9277.907555,8381.493494,6632.894526,6244.890435,5896.582921,8811.679578,10257.25666,9641.575049,10730.79708,10778.30719,10697.54599,11704.85246,12176.26035,12802.96613
Inward FDI,Saudi Arabia,SAU,9127.458592,7287.909636,10082.79773,11071.3988,22072.05273,18023.33965,20866.62537,24387.70689,24775.57514,26675.30569,18193.83404,16640.61632,19477.8936,19864.9189,21827.41491
Inward FDI,Oman,OMN,1123.443268,1120.844014,1871.588973,1940.544721,2117.189379,1854.344933,2080.255913,2295.383453,2038.19825,1767.752597,1610.491887,1586.393039,4144.376475,4299.133773,4460.728248
Inward FDI,Qatar,QAT,3831.067642,5097.756218,6757.262752,10144.34791,9238.499883,9608.71266,9541.19034,10074.84407,10917.69509,11836.59527,24148.00591,9311.122029,8899.299027,10805.37458,11196.86917
Inward FDI,Kuwait,KWT,22835.3292,26142.52505,12113.32495,13926.22478,15954.7588,15948.98363,24081.85545,26531.1884,25566.61586,28456.3565,27928.07026,28863.24721,22180.4291,23520.26655,31894.02313
Inward FDI,GCC,GCC,204812.852,226022.6515,249652.3769,269914.321,290551.6964,304801.5139,315737.995,350339.1162,418628.7659,454479.8281,401760.2516,480857.5262,566006.7972,602908.9049,653669.7126
Inward FDI,Intra-GCC ,INT-GCC,64180.1611,67942.88513,57267.21899,62548.2821,75628.40537,72676.0918,88192.14261,101046.4144,102275.355,108726.0402,109392.4001,95955.86884,103651.1904,112556.9506,130292.0382
Inward FDI,Extra-GCC,EXT-GCC,140632.6909,158079.7664,192385.1579,207366.0389,214923.291,232125.4221,227545.8524,249292.7018,316353.4109,345753.7879,292367.8515,384901.6573,462355.6068,490351.9543,523377.6745
Outward FDI,United Arab Emirates,ARE,7247.410056,6326.91326,8561.964924,9242.744668,10491.92111,10047.69846,10453.8056,11314.03022,9970.813518,11758.46827,23691.61185,9526.542532,13863.5178,15119.67075,16958.68535
Outward FDI,Bahrain,BHR,12886.6,11639.5,9764.6,11245,20145.3396,16600.6,17275.22,17020.38,17359.31324,19965.67,20716.73,20372.67367,22885.26257,24529.83956,31396.25
Outward FDI,Saudi Arabia,SAU,33818.4,37168.0932,23549.31767,24021.35752,25094.18336,25133.51081,36693.32722,42617.1928,45078.54056,48187.93688,47609.70019,51241.82804,52167.11311,56721.52888,63933.07371
Outward FDI,Oman,OMN,3411.101334,3722.338777,4512.90355,4756.232358,5282.302265,4732.442103,5280.987003,5903.231721,6230.651553,6035.013807,5719.375813,6886.605982,6920.156047,7187.516255,8573.73212
Outward FDI,Qatar,QAT,2644.841124,3511.781859,3477.639896,3782.596683,5680.837277,7981.613592,11246.78798,16928.21284,16600.59836,16387.00265,4841.059433,1716.885103,1540.162357,1516.381884,1692.887128
Outward FDI,Kuwait,KWT,4171.808586,5574.258033,7400.792955,9500.35087,8933.821755,8180.226843,7242.014806,7263.366843,7035.437738,6391.948608,6813.922795,6211.333524,6274.978512,7482.013266,7737.409855
Outward FDI,GCC,GCC,150196.1289,149751.6276,155794.861,171867.0815,211218.2324,233058.457,252855.7443,287216.9019,324348.2965,382652.947,437212.5705,495637.5404,503554.2998,574669.1773,615977.6667
Outward FDI,Intra-GCC ,INT-GCC,64180.1611,67942.88513,57267.21899,62548.2821,75628.40537,72676.0918,88192.14261,101046.4144,102275.355,108726.0402,109392.4001,95955.86884,103651.1904,112556.9506,130292.0382
Outward FDI,Extra-GCC,EXT-GCC,86015.96783,81808.74248,98527.64205,109318.7994,135589.827,160382.3652,164663.6017,186170.4874,222072.9416,273926.9068,327820.1704,399681.6715,399903.1094,462112.2267,485685.6286
