Country,Year,Trade_orig,Financial_orig,Labor_orig,Infrastructure_orig,Sustainability_orig,Convergence_orig,Index_orig,Index_pca_dim,Trade_pca_dim,Financial_pca_dim,Labor_pca_dim,Infrastructure_pca_dim,Sustainability_pca_dim,Convergence_pca_dim,Index_pca_whole,Trade_pca_whole,Financial_pca_whole,Labor_pca_whole,Infrastructure_pca_whole,Sustainability_pca_whole,Convergence_pca_whole
BHR,2015,71.68,62,49.63,49.01,78.25,47.54,59.04,63.25,92.78,90.47,24.16,48.93,84.57,35.27,64.46,81.81,82.68,45.82,48.23,78.5,43.96
ARE,2015,47.66,47.3,52.18,59.38,52.73,63.47,52.92,48.21,37.24,28.74,53.22,59.39,55.69,69.16,51.42,46.22,32.8,47.25,59.5,50.92,74.56
QAT,2015,41.46,55.06,74.02,50.71,25.58,33.27,50.13,38.72,18.82,30.66,52.97,51.08,28.83,51.37,41.98,28.15,37.54,69.97,54.53,25.36,39.64
KWT,2015,29.2,51.57,74.36,41.77,26.97,49.62,47.04,47.57,11.86,69.58,84.84,42.26,19.99,38.64,45.08,17.72,64.08,75.63,46.88,25.11,49.68
GCC,2015,36.723600000000005,45.3492,38.2018,57.4941,49.6096,59.193400000000004,46.4301,36.7332,17.3462,23.799999999999997,26.6149,57.33730000000001,52.7595,64.3407,40.0497,25.6796,27.513400000000004,33.713,55.8908,48.90820000000001,65.00390000000002
SAU,2015,30.3,40.68,20.12,65.09,56.63,64.84,43.38,30.8,5.73,12.52,5.82,64.67,61.28,69.19,34.02,15.41,16.88,14.47,60.76,56.38,69.81
OMN,2015,53.46,51.32,42.76,10.25,38.16,57.84,41.16,26.07,44.89,14.1,4.1,10.13,40.25,73.97,41.11,45.44,21.76,42.27,9.09,37.12,64.56
BHR,2016,76.61,64.64,48.1,47.27,87.3,47.28,60.78,62.68,86.03,93.58,23.2,47.16,90.72,36.2,64.73,79.47,85.31,43.9,46.09,87.07,44.29
ARE,2016,48.41,45.82,51.86,57.87,57.3,67.33,53.25,49.03,35.07,31.63,53.82,57.86,59.87,73.73,52.26,44.91,34.51,46.92,57.76,55.25,78.04
KWT,2016,31.8,57.9,72.45,41.77,40.28,49.6,49.77,49.36,12.34,77.75,81.62,42.26,29.13,36.51,47.1,19.08,70.6,73.29,46.85,37.43,48.18
QAT,2016,41.04,48.22,75.43,47.84,33.76,38.45,49.72,40.18,19.36,32.33,51.83,48.15,39.02,59.42,43.96,28.15,37.64,71.22,51.09,33.05,45.31
GCC,2016,36.2385,43.0248,36.3372,49.0642,58.5225,61.210300000000004,44.9029,36.1549,15.5702,25.9226,26.8442,48.9834,59.41180000000001,67.51620000000001,40.1111,24.2467,28.486500000000003,31.3477,48.196600000000004,57.21280000000001,67.1744
OMN,2016,50,48.75,42.89,12.03,43.06,56.96,40.73,24.35,30.35,14.93,3.89,11.89,46.3,75.08,39.48,36.8,21.37,42.42,10.54,41.43,64.96
SAU,2016,29,37.55,16.88,50.76,66.91,66.23,40.15,29.09,4.64,13.67,6.78,50.5,67.79,71.95,33.29,13.93,17.03,10.43,48.01,65.95,71.59
BHR,2017,72.53,68.09,47.35,50.55,87.13,41.01,60.52,61.5,85.69,87.48,22.36,50.4,89.87,33.31,63.4,78.22,81.29,42.96,48.97,86.99,41.63
ARE,2017,48.47,44.39,46.87,57.12,55.92,69.78,51.94,51.23,48,31.57,54.66,57.14,57.87,71.72,52.43,51.66,35.1,40.38,57.37,53.94,77.09
KWT,2017,32.77,55.49,72.78,41.99,34.57,47.99,48.86,47.23,12.28,68.87,81.35,42.49,24.46,37.93,45.91,19.46,64.47,73.34,47.1,32.24,49.01
QAT,2017,31.47,50.95,70.23,45.14,27.86,48.99,47.24,37.58,12.29,33.47,53.48,45.55,31.87,54.39,40.02,20.02,40.34,66.96,49.33,27.23,43.38
GCC,2017,35.9812,46.11410000000001,33.7945,46.0149,53.4286,63.2105,44.0437,35.7279,18.806600000000003,24.6842,27.7364,46.01180000000001,54.7812,68.0258,39.4782,25.725800000000003,28.915300000000002,29.253700000000006,45.974500000000006,52.4379,67.8478
OMN,2017,67.3,42.59,34.42,12.84,41.87,60.86,41.7,30.14,62.39,12.89,2.04,12.71,44.12,77.23,45.42,60.93,18.66,39.68,11.48,40.47,67.1
SAU,2017,28.86,43.9,15.77,45.79,60.25,67.02,39.59,27.9,4.58,12.91,8.02,45.64,62.4,74.28,32.55,13.71,18.35,10.01,44.23,59.73,73.31
BHR,2018,70,66.5,46.71,50.37,79.81,41.02,58.8,61.33,85.72,89.8,23.2,50.21,83.43,31.98,62.38,77.61,82.77,42.27,48.71,79.77,41.7
ARE,2018,60.11,45.07,41.46,55.31,44.3,72.31,52.05,51.48,57.77,29.46,53.89,55.37,47.9,73.93,52.25,61.4,33.62,33.64,55.85,42.95,78.57
KWT,2018,34.35,64.41,70.25,40.05,25.19,50.74,49.41,44.46,12.38,66.29,75.59,40.52,15.67,39.35,44.36,20.29,63.35,70.5,44.91,23.42,50.34
OMN,2018,68.99,47.65,41.65,13.89,35.2,70.04,44.96,31.12,67.69,11.14,3.53,13.77,37.48,81.46,47.1,65,18.77,41.54,12.67,34.42,71.66
QAT,2018,21.9,51.66,61.35,43.62,22.02,51.43,43.05,35.61,6.26,31.4,54.31,44.11,25.05,58.88,36.34,12.93,38.47,59.23,48.67,21.72,48.01
GCC,2018,37.712900000000005,44.83070000000001,32.1781,43.8355,42.85810000000001,66.3163,42.6268,34.3267,19.717699999999997,22.8511,27.124900000000004,43.8467,44.741200000000006,71.4381,38.0878,26.8562,26.8559,26.991300000000003,43.913700000000006,42.321200000000005,70.4536
SAU,2018,29.61,39.49,16.21,42.95,48.45,70.07,37.5,25.98,3.57,11.17,7.68,42.8,51.07,78.28,30.93,13.35,15.59,10.04,41.36,48.33,76
BHR,2019,68.07,73.49,46.16,47.59,82.66,43.11,59.64,61.36,85.17,89.95,23.93,47.47,84.96,35.63,62.88,76.47,84.58,41.58,46.43,82.29,44.89
ARE,2019,60.08,56.09,35.36,55.63,54.68,70.85,53.99,50.22,60.3,29.89,41.24,55.69,54.62,73.32,52.91,62.85,37.35,27.08,56.19,52.5,78.11
KWT,2019,33.97,60.2,77.44,40.13,29.01,49.18,50.16,47.02,10.48,64.71,91.98,40.6,18.57,36.14,45.34,19.06,61.81,78.18,45.03,26.53,47.72
GCC,2019,34.3187,51.9701,31.171300000000002,44.8815,49.626400000000004,63.6863,43.8,34.3251,19.6371,23.8597,24.3913,44.889700000000005,50.668000000000006,67.04350000000001,38.1473,25.8016,29.749800000000004,25.466900000000003,44.95740000000001,48.644800000000004,67.17099999999999
OMN,2019,60.57,47.76,42.21,15.13,37.74,68.12,43.72,29.48,59.46,11.51,3.83,15,38.13,77.09,44.85,57.41,19.62,40.82,13.81,36.25,69.06
QAT,2019,8.3,56.12,54.2,45.86,26.32,53.52,40.88,37.55,5.58,50.23,39.12,46.37,30.04,62.84,37.11,8.44,53.74,51.97,51.13,25.86,52.07
SAU,2019,27.06,48.12,16.84,44.27,55.42,65.7,39.37,25.8,3.73,9.28,7.68,44.11,57.99,70.44,30.7,12.74,16.59,9.96,42.61,54.99,69.88
BHR,2020,73.09,74.7,45.75,25.5,95.04,42.87,57.6,57.75,75.75,95.46,23.58,25.67,93.66,42.97,63.31,73.05,90.97,39.81,27.25,94.07,50.05
KWT,2020,32.85,57.99,79.71,41.7,49.41,55.62,52.96,55.8,11.98,84.04,93.66,42.2,41.52,52.69,52.81,19.2,77.39,80.41,46.87,47.02,59.68
ARE,2020,63.33,51.88,36.87,41,68.71,68.51,52.34,51.02,63.39,38.81,42.16,41.25,64.33,74.68,55.79,66.16,44.89,28.69,43.62,65.45,78.3
OMN,2020,72.74,51.69,43.39,7.17,44.44,59.41,45.38,32.38,78.1,13.98,4.86,7.18,45.54,70.04,48.51,71.66,22.88,40.85,7.29,42.74,63.91
QAT,2020,17.34,47.99,54.25,42.66,37.19,53.93,41.56,35.31,5.9,38.36,39.59,43.16,39.89,59.19,37.43,10.92,45.83,52.12,47.86,35.86,50.42
GCC,2020,38.1944,44.7153,33.9786,28.2866,64.61789999999999,58.983700000000006,41.3965,33.7024,21.585,27.255400000000005,27.612699999999997,28.471500000000002,64.49090000000001,62.68370000000001,39.502399999999994,28.2716,31.689999999999998,27.6718,30.207,62.89110000000001,63.730599999999995
SAU,2020,30.05,37.93,20.99,21.09,71.63,57.74,34.95,23.43,4.57,11.51,12.8,21.16,73.47,60.74,30.67,14.4,16.3,13.12,21.81,70.42,62.43
BHR,2021,73.55,76.62,52.12,36.39,91.39,38.39,60.71,56.63,65.6,93.26,22.62,36.43,92.6,37.88,62.58,68.23,88.19,44.86,36.88,91.82,46.75
KWT,2021,29.39,55.13,79.6,50,39.83,55.42,52.35,51.08,10.86,53.43,97.68,50.6,32.36,53.28,48.97,17.45,52.77,80.94,56.19,38.81,60.3
ARE,2021,65.13,55.01,33.37,42.45,54.7,68.47,51.51,49.97,66.65,37.99,39.55,42.72,52.47,73.39,53.7,68.52,43.12,25.21,45.24,52.32,76.86
OMN,2021,72.03,50.48,44.42,8.52,38.31,62.72,45.19,33,73.1,19.8,4.47,8.56,39.82,78.3,48.65,68.27,25.88,40.94,9.01,37.42,70.31
QAT,2021,6.82,53.01,67.07,49.78,27.11,55.38,43.59,36.63,7.63,32.32,47.58,50.35,29.84,60.69,38.84,9.31,41.35,64.22,55.61,26.7,52.85
GCC,2021,35.7341,49.9453,38.3974,32.9951,53.326800000000006,61.1865,42.8685,33.2076,21.6871,23.5514,27.206100000000003,33.2039,54.13550000000001,66.6525,39.3526,27.5375,29.035200000000003,31.322,35.1305,52.6075,66.6294
SAU,2021,27.61,45.81,27.36,26,60.04,61.36,37.5,23.3,4.27,10.27,10.85,26.08,62.64,67.45,31.41,13.31,16.39,18.27,26.79,59.85,67.16
BHR,2022,74,70.1,44.6,48.49,83.38,37.04,59.48,56.28,65.39,87.85,21.98,48.4,88.26,27.26,59.26,68.39,81.92,38.81,47.55,84.71,40.04
ARE,2022,63.7,54.2,31.95,42.41,46.9,64.7,49.61,46.95,63.59,35.15,36.23,42.68,43.7,70.5,50.95,66.03,39.51,23.55,45.2,44.81,75.15
KWT,2022,29.42,53.43,80.26,42.53,18.78,44.18,47.42,43.37,9.29,45.74,97.84,43.04,8.27,33.63,42.05,16.65,46.28,81.57,47.79,17.48,45.77
GCC,2022,37.418000000000006,52.8361,40.0864,52.614799999999995,44.061800000000005,57.8396,46.77850000000001,34.696400000000004,20.2663,21.0813,26.157600000000002,52.5604,44.9493,61.84630000000001,39.0347,26.974700000000006,26.9377,33.442800000000005,52.0705,44.02310000000001,63.2576
QAT,2022,17.19,55.07,70.76,54.97,15.53,54.39,46.59,37.07,10.07,27.56,51.71,55.45,19.1,61.97,39.55,14.42,36.1,67.95,59.98,16.06,54.12
SAU,2022,29.52,51.4,30.19,60.79,52.5,58.33,45.46,28.28,3.15,9.36,9.27,60.44,55.68,62.62,32.99,12.81,16.35,21.97,57.19,53.17,63.58
OMN,2022,67.09,50.68,46.3,14.07,27.95,64.14,44.83,30.98,65.86,16.14,4.41,13.97,29.89,79.16,46.2,61.95,22.53,42.17,13.12,28.13,71.89
BHR,2023,73.72,74.7,46.92,61.77,87.96,46.27,64.85,60.5,65.86,91.78,20.62,61.51,90.71,34.72,62.74,68.56,86.21,40.68,59.06,88.55,45.9
ARE,2023,62.85,61.9,31.61,44.93,59.66,74.58,53.68,49.63,64.94,39.25,35.24,45.23,55.29,71.67,53.79,66.72,44.83,22.99,48.03,57.1,76.8
QAT,2023,16.91,50.87,72.98,58.59,23.95,67.35,49,39.74,9.75,30.47,55.38,59,26.6,61.63,41.32,13.8,38.08,70.36,62.87,23.61,54.07
GCC,2023,34.401,51.415800000000004,39.56830000000001,57.00660000000001,55.84760000000001,62.3404,48.29580000000001,36.954100000000004,20.943099999999998,23.993199999999998,26.670900000000003,56.9139,56.1949,56.3001,40.1481,25.947,29.815400000000004,33.359500000000004,56.06660000000001,55.2529,59.4132
OMN,2023,68.25,50.89,45.4,18.62,31.39,73.55,47.13,32.38,69.73,17.39,3.96,18.49,32.8,71.87,46.31,64.35,24.25,39.4,17.28,30.88,67.06
SAU,2023,24.27,46.42,31.46,65.98,65.9,59.16,46.13,29.92,3.57,9.79,9.89,65.57,68.96,52.6,33.55,10.61,16.94,23.98,61.76,66.1,56.31
KWT,2023,29.55,56.12,62.79,44.62,28.8,45.26,46.02,48.35,9.56,63.68,97.92,45.15,17.27,33.57,42,16.6,60.69,65.99,50.15,26.71,45.4
BHR,2024,71.26,71.94,46.33,69.84,84.09,48.91,65.17,61.55,62.81,92.17,19.42,69.48,90.2,37.5,62.4,65.78,86.52,39.97,66.13,85.07,48
ARE,2024,62.85,65.18,29.97,44.93,61.4,71.32,53.86,49.33,64.94,40.18,31.43,45.23,57.08,72.65,53.93,66.72,46.65,21.09,48.03,58.71,77.31
QAT,2024,24.59,52.11,76,62.66,26.32,61.78,51.88,42.47,15.5,31.19,59.88,63.02,28.07,57.51,43.61,19.4,39.24,73.56,66.43,25.61,50.87
GCC,2024,32.4945,53.480700000000006,39.1276,57.61570000000001,58.43730000000001,59.4901,48.3344,37.4962,22.2852,24.7387,25.721500000000006,57.515499999999996,59.4543,55.0107,40.528400000000005,26.158100000000005,30.9429,33.375299999999996,56.59960000000001,57.7145,58.425000000000004
OMN,2024,68.25,55.17,45.32,18.62,36,68.11,47.88,33.14,69.73,18.77,3.78,18.49,37.31,72.59,47.14,64.35,25.68,39.3,17.28,35.49,67.56
KWT,2024,26.23,55.12,62.79,44.62,32.41,47.71,45.76,50.11,12.18,64.44,97.92,45.15,23.13,38.62,43.32,16.84,61.57,65.99,50.15,30.47,49.08
SAU,2024,19.84,48.65,30.65,65.98,68.73,56.26,45.52,30.1,4.59,10.43,8.64,65.57,72.73,49.84,33.48,9.94,17.86,24.06,61.76,68.78,54.32
