uCode,Index,Trade,Financial,Labor,Infrastructure,Sustainability,Convergence,ind_conv_fiscal,ind_conv_income,ind_conv_interest,ind_conv_manufacturing,ind_conv_non_oil,ind_conv_oil,ind_conv_price,ind_31_fdi,ind_39_banking,ind_44_stock,ind_bank_depth,ind_fiscal_balance,ind_gdp_growth,ind_inflation,ind_m2_growth,ind_3_aviation,ind_elec_pc,ind_69_labor,ind_71_student,ind_72_tourism,ind_lfpr,ind_unemployment,ind_manufacturing_share,ind_non_oil_share,ind_nonoil_rev_share,ind_oil_share,ind_51,ind_52,ind_55,ind_56,ind_63,ind_64,Year,Country,Rank
GCC_2015,46.4301,36.723600000000005,45.3492,38.2018,57.4941,49.6096,59.193400000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,GCC,NA
BHR_2015,59.04,71.68,62,49.63,49.01,78.25,47.54,23.19,66.67,94.86,19.53,30.47,19.23,78.86,97.41,90.34,97.35,74.3,29.46,54.13,28.95,24.07,55.34,42.68,30.64,13.98,56.65,71.42,75.48,74.16,94.52,49.81,94.52,100,100,100,66.67,12.15,51.27,2015,BHR,1
ARE_2015,52.92,47.66,47.3,52.18,59.38,52.73,63.47,27.17,100,47.66,87.92,64.84,59.34,57.33,15.98,59.9,76.13,46.77,21.24,76.26,44.38,37.78,58.43,60.34,71.39,36.41,25.22,81.93,45.95,17.21,78.5,36.72,78.5,17.46,27.04,27.88,100,60.04,53.54,2015,ARE,2
QAT_2015,50.13,41.46,55.06,74.02,50.71,25.58,33.27,20.08,0,0,88.36,55.15,48.04,21.25,15.7,54.3,97.83,60.22,51.83,64.98,34.91,60.71,19.9,81.52,67.08,36.83,71.28,97.5,97.41,17.42,37.21,10.47,37.21,14.15,12.99,15.77,33.33,80.31,92.2,2015,QAT,3
KWT_2015,47.04,29.2,51.57,74.36,41.77,26.97,49.62,16.87,85.19,95.33,60.35,26.37,14.44,48.78,73.97,86.8,100,46.91,45.19,18.46,19.03,22.18,0.51,83.02,68.6,99.71,64.71,74.27,64.51,4.09,23.79,56.22,23.79,11.49,6.36,21.34,0,71,64.98,2015,KWT,4
SAU_2015,43.38,30.3,40.68,20.12,65.09,56.63,64.84,18.68,77.78,94.38,78.37,77.39,74,33.27,4.56,50,95.47,7.39,38.79,64.5,38.44,26.32,100,30.17,8.52,1.22,43.67,40.04,7.14,46.15,72.64,35.07,72.64,2.77,1.25,10.37,0,100,67.4,2015,SAU,5
OMN_2015,41.16,53.46,51.32,42.76,10.25,38.16,57.84,32.08,40.74,47.19,88.37,91.18,90.09,15.23,3.15,55.73,100,15,76.63,66.25,64.64,29.15,19.61,0.88,1.01,1.46,80.41,42.26,88.64,17.43,54,27.2,54,52.12,37.64,59.65,20,57.55,93.79,2015,OMN,6
GCC_2016,44.9029,36.2385,43.0248,36.3372,49.0642,58.5225,61.210300000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,GCC,NA
BHR_2016,60.78,76.61,64.64,48.1,47.27,87.3,47.28,18.31,66.67,93.83,10.08,44.4,18.54,79.14,100,100,97.25,74.3,32.13,60.44,28.95,24.07,56.76,37.78,29.53,13.16,54.87,71.67,71.26,78.75,99.52,71.41,99.52,94.16,96.16,81.99,66.67,34.07,86.58,2016,BHR,1
ARE_2016,53.25,48.41,45.82,51.86,57.87,57.3,67.33,26.34,100,57.48,90.08,75.71,63.95,57.73,20.73,59.3,75.94,46.77,12.3,69.35,44.38,37.78,58.72,57.01,74.54,34.93,21.94,81.93,45.95,18.29,84.09,42.73,84.09,15.41,24.63,24.11,100,58.99,67.34,2016,ARE,2
