uCode,mean_index,sd_index,mean_rank,sd_rank,min_rank,max_rank
BHR_2023,42.9,21.94,1.35,0.44,1,2
BHR_2024,42.34,22.09,2.02,0.83,1,3
BHR_2021,40.65,20.35,3.65,1.81,2,7
BHR_2016,39.48,20.87,4.11,0.8,3,5
BHR_2017,39.35,20.85,5.28,1.31,3,7
BHR_2022,38.57,19.88,6,1.89,4,9
BHR_2019,39.08,20.58,6.15,0.72,5,7
BHR_2015,38.05,20.23,9.14,1.51,8,12
BHR_2020,36.94,19.37,9.37,0.85,8,10
BHR_2018,38.04,20.38,9.54,2.25,6,13
ARE_2016,35.23,17.58,12.31,2.94,8,16
ARE_2019,34.78,17.8,13.36,2.07,11,17
ARE_2015,35.04,17.59,13.38,3.18,9,17
ARE_2024,34.02,17.49,13.52,2.27,11,17
ARE_2023,34.12,17.48,13.76,1.4,11.5,16
QAT_2024,33.29,16.88,17.07,1.52,15,19
ARE_2020,32.85,17.05,18.75,1.73,16,21
ARE_2017,33.81,17.43,18.84,3.3,13,22.5
ARE_2018,33.09,17.25,19.67,2.96,15,24
ARE_2021,32.61,16.84,20.47,1.14,19,22
QAT_2015,31.57,16.16,21.85,2.83,19,26
KWT_2020,29.36,17.77,24.18,9.74,13,40
QAT_2016,30.66,15.6,24.98,4.68,18,30
KWT_2021,29,17.61,25.06,9.52,15,41
QAT_2023,30.23,15.87,25.25,3.02,22,29
ARE_2022,30.4,16.1,25.32,2.15,22,28
KWT_2018,28.73,16.26,27.65,2.52,25,31
OMN_2024,28.58,15.55,28.13,3.28,23,32
KWT_2016,28.32,16.46,29.13,3.8,24,33
KWT_2019,27.88,16.7,30.09,6.01,23,37
OMN_2023,28.11,15.21,30.39,2.51,28,34
KWT_2017,27.98,16.18,31.15,2.89,27,35
QAT_2017,28.04,14.82,31.75,5.6,25,38
QAT_2022,27.36,15.2,33.33,3.98,26,37.5
OMN_2021,27.19,14.49,35.68,6.63,25,43
OMN_2020,26.9,14.58,36.86,5.08,27,41.5
KWT_2015,26.42,15.75,38.34,4.22,33,44
OMN_2022,26.21,14.5,39.56,4.97,31,45
OMN_2018,25.92,14.64,40.41,3.64,36,45
KWT_2022,25.24,16.15,40.64,8.14,31,52
OMN_2019,25.41,14.21,42.09,4.27,35,47
SAU_2024,24.65,14.99,42.65,4.24,35.5,47
SAU_2023,24.59,15.23,43.08,6.15,33,50
QAT_2021,24.58,14.32,44.15,4.04,39,48
KWT_2023,24.02,15.88,45.31,8.77,35,60
OMN_2015,23.98,13.41,45.46,5.06,38,51
KWT_2024,24.22,15.69,45.72,7.69,37,58
SAU_2022,23.83,15.14,46.29,7.04,34,54
QAT_2018,23.46,13.81,47.68,4.09,43,54
SAU_2015,23.68,14.2,47.93,3.57,43,54
OMN_2016,23.42,13.43,47.94,4.3,42,53
OMN_2017,23.37,13.75,49.39,3.79,45,56.5
QAT_2019,22.04,13.79,53.41,3.31,48,57
SAU_2016,22.17,13.14,53.71,1.78,51,56
SAU_2017,21.93,12.98,54.27,1.49,52,56
SAU_2019,21.71,12.87,54.47,3.02,49,57
QAT_2020,21.36,13.67,55.36,2.44,53,60
SAU_2021,21.11,12.18,55.51,4.49,46,58
SAU_2018,20.13,12.47,58.81,0.39,58,59
SAU_2020,19.2,11.48,59.28,1.13,57,60
